FECHA,FECHA(TEXT),HUBO PASEO?,FECHA LARGA DE SALIDA,HORA DE SALIDA ,FECHA LARGA DE LLEGADA,HORA DE LLEGADA ,TIEMPO DE PASEO (minutos),COMPORTAMIENTO DEL PERRO ,CIRCUITO
3/8/2022,08/03,SI,3/8/22 23:55,11:55:00 PM,3/8/22 0:54,12:54:00 AM,59.00,Muy Bueno,1
3/9/2022,09/03,SI,3/9/22 13:00,1:00:00 PM,3/9/22 13:33,1:33:00 PM,33.00,Bueno,2
3/10/2022,10/03,SI,3/10/22 0:02,12:02:00 AM,3/10/22 0:53,12:53:00 AM,51.00,Bueno,1
3/11/2022,11/03,SI,3/11/22 18:44,6:44:00 PM,3/11/22 19:12,7:12:00 PM,28.00,Regular,3
3/12/2022,12/03,SI,3/12/22 20:30,8:30:00 PM,3/12/22 21:02,9:02:00 PM,32.00,Regular,2
3/13/2022,13/03,SI,3/13/22 23:30,11:30:00 PM,3/14/22 0:00,12:00:00 AM,30.00,Bueno,2
3/14/2022,14/03,SI,3/14/22 0:48,12:48:00 AM,3/14/22 1:55,1:55:00 AM,67.00,Muy Bueno,1
3/15/2022,15/03,SI,3/15/22 23:16,11:16:00 PM,3/15/22 0:12,12:12:00 AM,56.00,Muy Bueno,1
3/16/2022,16/03,SI,3/16/22 21:10,9:10:00 PM,3/16/22 21:48,9:48:00 PM,38.00,Regular,2
3/17/2022,17/03,SI,3/17/22 23:44,11:44:00 PM,3/17/22 0:19,12:19:00 AM,35.00,Bueno,2
3/18/2022,18/03,NO,,,,,,,
3/19/2022,19/03,NO,,,,,,,
3/20/2022,20/03,SI,3/20/22 22:13,10:13:00 PM,3/20/22 22:54,10:54:00 PM,41.00,Regular,2
3/21/2022,21/03,SI,3/21/22 0:05,12:05:00 AM,3/21/22 1:03,1:03:00 AM,58.00,Muy Bueno,1
3/22/2022,22/03,SI,3/22/22 23:02,11:02:00 PM,3/22/22 23:29,11:29:00 PM,27.00,Bueno,2
3/23/2022,23/03,SI,3/23/22 21:12,9:12:00 PM,3/23/22 21:41,9:41:00 PM,29.00,Regular,3
3/24/2022,24/03,SI,3/24/22 0:12,12:12:00 AM,3/24/22 0:50,12:50:00 AM,38.00,Bueno,2
3/25/2022,25/03,NO,,,,,,,
3/26/2022,26/03,SI,3/26/22 1:13,1:13:00 AM,3/26/22 2:18,2:18:00 AM,65.00,Muy Bueno,1
3/27/2022,27/03,SI,3/27/22 23:23,11:23:00 PM,3/27/22 0:17,12:17:00 AM,54.00,Muy Bueno,1
3/28/2022,28/03,SI,3/28/22 0:11,12:11:00 AM,3/28/22 0:54,12:54:00 AM,43.00,Bueno,2
3/29/2022,29/03,SI,3/29/22 23:09,11:09:00 PM,3/29/22 0:14,12:14:00 AM,65.00,Muy Bueno,1
3/30/2022,30/03,SI,3/30/22 20:54,8:54:00 PM,3/30/22 21:35,9:35:00 PM,41.00,Regular,2
3/31/2022,31/03,SI,3/31/22 22:50,10:50:00 PM,3/31/22 23:56,11:56:00 PM,66.00,Muy Bueno,1
4/1/2022,01/04,SI,4/1/22 20:32,8:32:00 PM,4/1/22 21:07,9:07:00 PM,35.00,Regular,3
4/2/2022,02/04,NO,,,,,,,
4/3/2022,03/04,SI,4/3/22 23:02,11:02:00 PM,4/3/22 23:50,11:50:00 PM,48.00,Bueno,2
4/4/2022,04/04,SI,4/4/22 23:24,11:24:00 PM,4/4/22 0:18,12:18:00 AM,54.00,Muy Bueno,1
4/5/2022,05/04,NO,,,,,,,
4/6/2022,06/04,SI,4/6/22 21:22,9:22:00 PM,4/6/22 22:03,10:03:00 PM,41.00,Regular,2
4/7/2022,07/04,SI,4/7/22 23:45,11:45:00 PM,4/7/22 0:50,12:50:00 AM,65.00,Muy Bueno,1
4/8/2022,08/04,SI,4/8/22 19:21,7:21:00 PM,4/8/22 19:49,7:49:00 PM,28.00,Regular,3
4/9/2022,09/04,SI,4/9/22 1:14,1:14:00 AM,4/9/22 1:57,1:57:00 AM,43.00,Bueno,2
4/10/2022,10/04,SI,4/10/22 22:45,10:45:00 PM,4/10/22 23:29,11:29:00 PM,44.00,Bueno,2
4/11/2022,11/04,SI,4/11/22 21:54,9:54:00 PM,4/11/22 22:33,10:33:00 PM,39.00,Bueno,2
4/12/2022,12/04,SI,4/12/22 0:02,12:02:00 AM,4/12/22 0:54,12:54:00 AM,52.00,Muy Bueno,1
4/13/2022,13/04,SI,4/13/22 22:03,10:03:00 PM,4/13/22 22:45,10:45:00 PM,42.00,Bueno,2
4/14/2022,14/04,NO,,,,,,,
4/15/2022,15/04,SI,4/15/22 20:59,8:59:00 PM,4/15/22 21:34,9:34:00 PM,35.00,Regular,2
4/16/2022,16/04,SI,4/16/22 0:12,12:12:00 AM,4/16/22 1:20,1:20:00 AM,68.00,Muy Bueno,1
