FECHA,PASEO,HORA DE SALIDA ,HORA DE LLEGADA ,TIEMPO DE PASEO (minutos),COMPORTAMIENTO DEL PERRO ,CIRCUITO
"Tuesday, March 8, 2022",1,11:55:00 PM,12:54:00 AM,59.00,Muy Bueno,1
"Wednesday, March 9, 2022",1,1:00:00 PM,1:33:00 PM,33.00,Bueno,2
"Thursday, March 10, 2022",1,12:02:00 AM,12:53:00 AM,51.00,Bueno,1
"Friday, March 11, 2022",1,6:44:00 PM,7:12:00 PM,28.00,Regular,3
"Saturday, March 12, 2022",1,8:30:00 PM,9:02:00 PM,32.00,Regular,2
"Sunday, March 13, 2022",1,11:30:00 PM,12:00:00 AM,30.00,Bueno,2
"Monday, March 14, 2022",1,12:48:00 AM,1:55:00 AM,67.00,Muy Bueno,1
"Tuesday, March 15, 2022",1,11:16:00 PM,12:12:00 AM,56.00,Muy Bueno,1
"Wednesday, March 16, 2022",1,9:10:00 PM,9:48:00 PM,38.00,Regular,2
"Thursday, March 17, 2022",1,11:44:00 PM,12:19:00 AM,35.00,Bueno,2
"Friday, March 18, 2022",0,,,,,
"Saturday, March 19, 2022",0,,,,,
"Sunday, March 20, 2022",1,10:13:00 PM,10:54:00 PM,41.00,Regular,2
"Monday, March 21, 2022",1,12:05:00 AM,1:03:00 AM,58.00,Muy Bueno,1
"Tuesday, March 22, 2022",1,11:02:00 PM,11:29:00 PM,27.00,Bueno,2
"Wednesday, March 23, 2022",1,9:12:00 PM,9:41:00 PM,29.00,Regular,3
"Thursday, March 24, 2022",1,12:12:00 AM,12:50:00 AM,38.00,Bueno,2
"Friday, March 25, 2022",,,,,,
"Saturday, March 26, 2022",1,1:13:00 AM,2:18:00 AM,65.00,Muy Bueno,1
"Sunday, March 27, 2022",1,11:23:00 PM,12:17:00 AM,54.00,Muy Bueno,1
"Monday, March 28, 2022",0,,,,,
"Tuesday, March 29, 2022",0,,,,,
"Wednesday, March 30, 2022",0,,,,,
"Thursday, March 31, 2022",0,,,,,
"Friday, April 1, 2022",0,,,,,
"Saturday, April 2, 2022",0,,,,,
"Sunday, April 3, 2022",0,,,,,
"Monday, April 4, 2022",0,,,,,
"Tuesday, April 5, 2022",,,,,,
"Wednesday, April 6, 2022",,,,,,
"Thursday, April 7, 2022",,,,,,
"Friday, April 8, 2022",,,,,,
